Customer Review,Emotion
"Nggak sesuai yg diiklanin, airnya loyo...",Sadness
mantab????????Bahannya adem. Ukuran sesuai. Modelnya cantik ??. Warnanya cantik ??. Jahitan rapi. Tidak menerawang.,Love
"Pesan 3 buah, XXXL, ukuran dada 52 cm, datang 43, 44 dan 45 cm bos, ukuran tersebut hanya dipakai untuk lap motor.",Anger
keren banget.....anak saya suka banget...,Love
"barangnya rusak setelah seminggu respon penjual jelek katanya chat jaminan tidak dijawab jaminan bohong, pikir lagi kalau mau beli disini",Fear
"dari dulu emang suka dg efek 'nyesss ... adem' pakai sabun ini. apalagi sdg promo beli 2 dapat 3. brg terbungkus rapi dg bubble wrap, aman sampai diterima.",Love
sampul gue yang dikasih ga bagus ada bagian peyot sementara itu gue beli buku hangat,Anger
Mantab. Terhubung ke siri juga bisa,Love
"mantap bgt, kualitas beneran sama kaya webcam sejutaan",Love
"packing super aman, dan rapih. per kaleng, per 1 kardus yg di lapisi bubble wrap tebal pada kaleng nya, lalu kardus dijadikan 1. awalnya sempat ragu, aman ga pesan susu pakai jasa kirim reguler, karna biasa pakai instant, dan ternyata Alhamdulillah ga penyok sama sekali pesan 2 kaleng. sukses selalu seller.",Happy
"Jujur saya ragu kotaknya tidak ada plastiknya, tapi masih kalah dengan yang di bawah, tapi lebih higienis.",Fear
"Belanja disini mantap, pengiriman cepat dan barang recomended serta packing aman dan rapi.Akan belanja disini lagi, Insya Allah",Love
berlangganan otomatis,Love
"Yang jelas pilih varian hitam, yang dikirim putih, tapi kalau habis bisa komunikasi ke pembeli, kenapa ada fitur chat, jangan asal kirim, mau komplain, malas repot.",Anger
Bubble wrap tebal. Original. Kualitas baru dan baik.,Happy
"Ini pembelian kerupuk saya yang ke 5, pengiriman cepat dan tidak ada yang rusak, terima kasih kepada penjual dan kurir yang cepat",Love
"Gamepad sampai dengan packing std, gamepad satu normal namun yang satunya L2 dan R2 hilang entah kemana sudah di cek memang tidak ada apakah kesalahan pembuatan di pabrik atau memang produk gagal, semoga untuk ditingkatkan ketilitian dalam pengiriman sebelum sampai ke tangan konsumen, jadi stik atau gamepadnya terpaksa main pakai L2 dan R2 cabutan dari stik lain yang beda merek dan warnanya hitam, padahal gamepad normal sayangnya tombol R2 dan L2 missing/hilang, semoga gamepadnya awet. makasih y",Fear
Barang rusak dikirim,Anger
Saat unit ada masalah seller bersedia membantu mengatasi. Terima kasih banyak.,Happy
"Respon Admin buruk, Benar sprti ulasan yg lain, seakan chat dg Robot, Sdh Note buat jual, mnta Packing Aman, malah dtg penyok2,Exp minta lama, minimal sprti Review yg lain 30 Okt, Eh malah sengaja dikirim Experience Bulan Juli (deskripsi mmg bulan Juli)Ketawalah skrg para Admin PT Bayer... Nnti pasti dtg Saat Menangisss??????",Anger
lumayanlah sesuai harga,Happy
"buku original, harga sangat murah jauh dibandingkan ditempat lain, seller ramah, packing rapi, buble wrapnya sangat tebel banget, puas Maksimal. terima kasih seller",Love
"-1 bintang karena packing ga pake bubble wrap, walaupun sampai dengan selamat & tanpa ccd. Penjual fast respon & proses, barang sesuai dan terdeteksi sebagai xbox controller, colok langsung pakai tanpa perlu config",Happy
Masker tertipis yang pernah saya beli,Anger
"baguss barangnya original, semua lengkap dgn garansi, diproses nya juga cepat thank you????",Happy
barang sesuai pesanan..udh di coba oke...packing rapih..mksh..,Happy
Barang tidak sesuai pesanan ... Mohon pendataan barang lebih cermat lagi,Fear
paan gada ngaruhnya samsek!!! kecabut aja kaga,Anger
"beli hari sabtu, diproses senin, dikirim selasa, rabu, sudah sampai padahal sudah ada, beli hari minggu, dikirim hari minggu, sudah sampai hari senin, tidak lagi beli disini",Fear
"tidak komunikatif, warna yang dipilih tidak tersedia setelah chat, sesuaikan, minta dikirim yang tidak tersedia, tidak perlu dikirim, malah dikirim warna asli",Anger
tanggapan yang buruk,Sadness
manta aap bantuan terbaik guuud,Love
"mantap, gak pernah kecewa belanja disini, figure sesuai foto, kawaii nezukochan wangy wangyyy hehe cuma bercanda om",Love
Barang yang dipesan tanggal 15 baru dikirim tanggal 21 _Baik atau tidak,Fear
"memesan 3, 1 datang dengan buruk",Anger
respon cepat dan barang cepat sampai. terima kasih.,Happy
"Tidak ada efeknya, kutunya masih hidup setelah saya tes, saya langsung merasa tertipu, semoga mendapatkan karmanya",Anger
"Order tgl 28 feb 22 baru diterima hari ini tgl 4 Mar 22, Diketerangan Estimasi diterima tgl 1-2 Maret 22, padahal sama sama jakarta, cukup sekali aja beli disini, kapok. NOT RECOMMENDED SELLER.",Fear
"lumayan ,tapi kalau dipake jalan jauh suka lecet,,,pas jepit jempol dan kaki telunjuk terasa sakit",Sadness
Proses pengiriman sangat lambat dan balasan chat sangat lambat bahkan saya tidak bisa meminta untuk membatalkan,Anger
"kain adem, jahitan bagus, ukuran pas, Positive??",Happy
"wangi tidak begitu enak,tidak ada isi ulang nya",Sadness
gagang tlp ny patah,Fear
"Respond cepat, packaging rapih, semoga efeknya cepat bermanfaat di rambut.",Happy
bagus barang nya,Happy
Saya sedikit kecewa karena hijabnya kecil sekali sehingga tidak bisa dipakai oleh orang dewasa,Sadness
Diphoto ada penjepit buka tutup ..pas dikirim nggak ada,Fear
"barangnya gak sesuai gambar, biasa aja, pantes hrg murah",Fear
BASO NYA ASEMMM. BASI..... RASA NGGA ENAK BANGET DEH.MUNGKIN ORANG BEDA BEDA YAH SOAL RASA.. UNTUK LUAR PULAU PIKIR2 DEH KLAU MAU BELI... DI JAMIN BASIII...,Anger
"pengiriman lama, kemasan penyok parah",Sadness
"bahannya adem banget ini yang saya butuhkan ,, murah kualitas ga murahan thanks seller dan tokped",Happy
Pengiriman cepat + aman banyak bubble wrap. Harga pun lebih murah daripada competitor. Mantap.,Happy
Puaass belanja di seller ini,Happy
"bahannya plastik jelek, suaranya kecil banget, lampunya jg gk terlalu terang, bru jg dimainin udah patah",Anger
"Respon lambat pengiriman lambat , toop kapok bgt",Fear
Tekanannya agak keras jadi cepat pecah dan airnya berbau plastik dan tidak bisa dipakai,Fear
toko ini gimana mau pakai 5 9 dikasih 99 udah mau mati kali 99 juga laku banget,Fear
harga barang bagus bnget dan sesuai harga..... warnanya aja cepet pudar... sekali cuci aja udah langsung berubah,Love
"Puas lah, fast response. Cuman masih sering close sendiri, saking sibuk, belum sempat dicek. Recommended seller! gaming terbaik. Game nya seru!",Love
Tepat waktu dan sesuai pesanan,Happy
nggak fungsi..pisaunya ditusuk semua ke dalam tong tapi kepalanya tetap stay,Sadness
"Jujur saya menyesal membeli bubble wrap ini, sepertinya saya hanya diberi sejumput saja, saya beli 2 pcs, saya kira kemasan helm saya akan ditutup dengan bubble wrap ini, namun sepertinya hanya menutupi bagian kiri dan kanan kotak helm, saya kecewa dengan pesanan ini, saya kira bukan itu niatnya, terima kasih",Fear
"tidak sesuai ekspektasi, barang kurang kuat, ukurannya kecil seperti mainan",Anger
"Packingnya rapi banget, pengiriman cepat, kurirnya juga ramah, recomended",Love
ada bagian yang sobek,Sadness
"Barang penyok ya guys, kalau dari ekspedisi kardus pastinya rusak.Wah kardusnya tebal dan masih mulus.Pengembalian saya dari toko berikutnya dikembalikan melalui TOPED, itu bohong.Foto yang dikirim ke Tokopedia Care bukanlah foto paket saya.Untung saja pihak asuransi bersedia menerima klaim tersebut, jadi hati-hati ya guys, Nutrilon mulai tidak aman.",Fear
sesuai pesanan. kualitas ??,Happy
"Jahitan rapi, model cantik, warna cantik, terima kasih kak",Love
"mantap, pengiriman cepat, langganan terus tiap bulan",Love
"Alat tidak berfungsi, sdh dipasang sesuai instruksi tdk bs dipakai dan tidak ada api yg terpantik keluar hanya liquid gas.",Anger
tidak menerawang hubaya-hubaya dibentuk sejuk dipakai jahitan rapi bahannya adem warnanya cantik modelnya cantik,Love
mantul bosque,Love
"Packagingnya bagus banget, pokoknya boxnya aman, dalamnya juga double, di boxnya ada styrofoam jadi botolnya aman.",Love
kemasan kotak bekas,Anger
pengiriman lamaaaaaaaaaaa banget hampir seminggu,Sadness
Barangnya tidak sesuai dengan foto.Leggingnya juga robek,Fear
kualitas bahan bagus kepadanan sesuai packing bagus seller terlalu fast respon recomended,Love
"bagus barangnya ga cacat, pelindungnya tebel, pengirimannya cepet banget",Happy
Hati-hati bagi yang membeli alat ini.Saya baru menggunakannya dua kali dan setrikanya terlepas dari alasnya.Penjual tidak memberikan solusi padahal saya minta penggantian dan bukan refund.Saya sarankan membeli merek lain tetapi membeli barang cacat di toko ini.,Fear
"Recomended pelayanan memuaskan, respon & pengiriman cepat",Love
"Yang saya pesan warnanya merah, tapi warnanya biru jelek",Sadness
lumayan Positive,Happy
Hati-hati jika membeli barang di toko ini.Deskripsi penjual dan barang aslinya harus terlihat jelas.Baca saja setiap ada pembeli bintang 1.Komentar pada produk.Respon penjual.Cara chat penjual tidak mencerminkan orang yang baik.,Fear
"Pakingnya oke, bagus, tolong diperbaiki, tongkatnya bergetar terus tanpa henti, mesin sering hang, saya mau ganti game, tolong diperbaiki gan, terima kasih atas selisih ongkos kirimnya.",Fear
"pesan dari tanggal 5, udah tanggal 8, barangnya belum muncul, gila banget.Toko lain saya pesan obat tanggal 6, hari ini tanggal 8 sudah sampai, lama banget dan responnya super lambat.Duuhhhh kucing jalanan yang sakit, modelnya mungkin terjatuh karena manusia, modelnya lambat, begitulah cara kerjanya.",Anger
Joo sssss double sss pengiriman rapi cepat,Love
buruk sekali hingga membuatku kecewa,Anger
Jam mati dan tidak bisa dihidupkan.Aku menekan tombol onoff.Mengeluh tidak ada tanggapan.Tolong jangan menjual jam mati.Rusak atau dicek terlebih dahulu sebelum dikirim.,Sadness
"Jamnya biasa aja, saya tidak tahu kenapa bisa harga awalnya sejutaan. mungkin teknik marketingnya seperti itu.",Anger
"Dibeli 2, tidak ada satupun yang bagus, sangat jauh dari kota Hoedjan",Anger
"Wah saya pakai hari yang sama, pas besoknya saya nyampe tra saya nyampe jam 1330, responnya rugi lho, gak usah pilih hari yang sama, jadi cepat, jadi Lamaga recomended banget",Fear
"Baru sampe brgnya cepet sih tp pas dipasang, kipasnya bunyi plus gak ada mur dan baut utk pengikat tutup kipasnya.",Fear
Puas. Barang diterima dengan kondisi Baik dan tidak ada kendala.,Happy
"raknya letoy bgt. kalo naro sepatu lebih dari 6 pasang takut roboh. kirain kuat, ternyata letoy bgt",Fear
"Aku bosan membeli kembang api di toko ini, katanya",Fear
lubang microfonnya error :(. bunyi nging terus jadi gabisa dipakai,Fear
"Selalu puas dgn pelayanan seller, pengirimannya cpt dan harga kompetitif...serta mumpung lg ada update next gen",Happy
"Produk sesuai deskripsi, packing aman, terlindungi, pengiriman cepat, toko seller responsif, peralatan sudah dicoba dan berfungsi, sangat recomended",Love
saya pesan yg donat sudah lewat SMS tapi yg dikirim yg ikan saya kecewa sebab kucing saya gak doyan.....saya udah bilang gak apa-apa pakai kantong polos ... saya kecewaaaaaa,Sadness
mantap sekali klu bisa berahi bintang 7 wkwkkwkwk,Love
"semurah ini dan sebagus ini maaf ya telat baru ada kuota bajunya lagi dijemur,,,Ringan dipakai. Jahitannya rapi. Ukuran sesuai. Warnanya bagus ??. Bahan menyerap keringat. Tidak menerawang.",Happy
ga amanah !!,Anger
"isinya cuma kaya air putih mening pake semir ban, di complain jg gk ada jawaban",Anger
"bgs, cepat respon dan pengirimanny",Happy
"mhon maaf cuma bntang 2 soal ny saya kecewa,, pas d buka pertama x.. ada lecet lecet nya di bagian atas tutup pen",Sadness
MANTULLL.. recommended seller,Love
pengapalan dibungkus plastik bening doang,Anger
ternyata lem pipa. tidak begitu rekat ngelem sepatu. sangat kecewa,Sadness
mantaaappp bagus kereeennn??????????,Love
Saya tidak diberikan ini meskipun saya sudah membelinya,Fear
"gak ada pengaruh, kutu msih hidup, sdh saya tes langsung. merasa ditipu nih, semoga dapat karma dah lu",Anger
mantul banget response dan pelayanan seller ini lho dalam masa era 1 hari paketnya tiba pada rumah sepertinya mafhum aja kalo emang ditungguin,Love
"Selang beda dengan yg di produk pianika original, yg spare part selang ini lebih lembek, mouth piece nya juga ada pecah di bagian pinggir.",Sadness
"Sudah order yg kedua disini, packingnya rapi, untuk lilin sama tulisan ulang tahun yang rentan patah dimasukkan ke dalam kardus ??pengirimannya juga cepat, semua barang yg dipesan lengkap dan kualitas bagus semua, balon2 ga ada yg bocor, lilin dan tulisan ultah nya juga ga ada yg patah. Anak bungsu saya senaaaaang sekali. Terima kasih banyak ya ??",Love
"admin fast respon, ramah, bukunya ori, diterima dalam keadaan tersegel, dimasukan dus dibungkus bubble wrap ..sangat memuaskan..terima kasih banyak",Happy
"Seller remehkan dan remehkan pembeli, pengiriman lama, pelayanan kurang memuaskan.Seller bilang wajar kalau pengirimannya lama sekali.Barang diskon sudah lama dikirim saat diambil.Gagal mengambil.Penjual tidak menindaklanjuti lagi sampai saya komplain.Kemudian dilakukan pengiriman barang yang berkualitas.Pada dasarnya saya bisa membeli barang serupa dimana saja, tapi saya sangat menyesal berurusan dengan penjual seperti ini.",Sadness
"Pesan dari kota tangerang, tiba-tiba dikirim dari toko cabang kado, no komplain dan imbauan, respon tokopedia n official store, kurang bagus belanja di toko online lain, belum pernah melakukan trik semacam ini, tidak salah, tidak mau ngaku salah, sudah dicek lagi, dilihat dengan benar, dikirim dari kota tangerang, screenshot juga, itu yang saya beli, saya juga bisa melihat toko cabang mana, toko cabang mana dari tangerang, hati-hati pembeli lain jangan sampai ada yang kena ky saya",Fear
byk yg hancur dikirim ke jkt,Fear
"Mantap barang cepet sampenya, seller Positive respon harga pass kualitas oke rekomen banget pokoknya",Love
"Order 30pcs datangnya 29pcs. Ketahuan nya setelah dibongkar dan diberesin masuk ke kotak, ada satu kemasan 5 yg isinya cuma 4!!! Complain ditolak, krn gaada video unboxing.. Ternyata Unilever Official Account pun tak bisa dipercaya.. ??????",Fear
baru 3 hari udh ga ngegrip,Fear
packaging sangat buruk sekali gan pecak dengan isolasi sebagian sudah terbuka seperti habis dibongkar,Anger
Tidak menerawang. Mudah dibentuk. Nyaman dipakai. Jahitan rapi. Bahannya adem. Warnanya cantik ??. Modelnya cantik ??,Love
Untuk pengatur besar topinya dari plastik dan gampang putus,Fear
"jamnya biasa saja, entah kenapa harga awalnya jutaan, mungkin teknik pemasarannya seperti itu",Anger
"sangat kecewa, pesan 2, dikirim 1 huuuuuu fffttt",Sadness
barang cacat kita  tidak suka,Anger
berlubang bolong ada minyak2nya gitu jelek,Anger
"Cetakanya gak bagus sama sekali, gak sesuai harga,,,...",Sadness
"Barang berfungsi dengan baik, direkomendasikan",Love
"Tidak ada detail tentang cara menggunakannya.Tidak ada penjelasan mengenai perlengkapan pendukung hp dan kamera, jadi saya kurang paham.Jika saya menggunakannya di ponsel, bagaimana cara menaikkan tripodnya?",Anger
"kwalitas bagus,harga terjangkau",Happy
"Alat mudah digunakan, barang sesuai deskripsi, aman dan packing bagus, pokoknya recomended",Love
mantappppppppppppppppppppppppppppppppp,Love
"Memang sudah kecil, tapi isi minyaknya tidak sampai penuh, jadi menurutku isiannya masih sedikit lebih banyak dari yang ukurannya kecil, tidak lebih dari 3 sendok makan, maaf, tidak sepadan dengan harga segini.",Fear
kualitas atas kadar nya drei buat buka murujung matanya kalah meletot padahalur nya ngga terlalu kuali bahannya kurang bagus,Anger
"beli 2 beda warna, tp sama sis nya dikirim warna yg sama. udah terlanjur dipack sama sis nya, diganti ovo lho ke saya.. padahal sy terima 2 barang. tanggung jawab sekalii. celana sesuai deskripsi.",Happy
beli 2 pcs... yang satu normal tanpa kendala.. yang 1 lagi stuck House cartridge nya gak mau ke tengah... step nya sama dengan yang normal ikutin manual...,Fear
Deskripsi dan gambar warna hitam tetapi barangnya yg sampai warna biru. GA SESUAI BANGET. Dichat komplain jawabnya cuma terima kasih. Ga niat jualan bos. Namanya orang jualan yg diutamakan harus kepuasan pelanggan. Klo di komplain jangan pura-pura oon/gak tau,Anger
sungguh-sungguh benar disarankan untuk pembeli lain membeli tambahan packing tapi selebihnya kertasnya ok tidak cacat sesuai sekali harganya saja terulur best lah,Love
barang tidak paripurna packing asalasalan sdh chat katanya kekurangannya mau dikirim ternyata cuma janji barang sedikit bahari,Anger
"Kurmanya bagus, dagingnya empuk dan tebal. Mau coba pake buat bikin kue. Bakal langganan nih, semoga kualitas kurmanya bagus terus ya. Terima kasih seller!",Happy
packing jelek ..brg dtng kotaknya penyot2..pesan 8 bh rusak 2 bh,Anger
"Tak masalah jika membuang-buang uang, mending beli parfum spray biasa",Anger
"Best bgt sih ini, fast respon, best price, prosesnya cepet bgt, satu lagi helpfull dibantuin ganti tgl karena di tgl pas booking mendadak ada halangan kirain bakal hangus tiketnya gak taunya dibantu proses reschedulenya pokoknya best bgt bakal jadi langganan",Love
barang tipis tdk sesuai yang dibilang tebal kapok belanja disini,Fear
"Dijamin Termurah, tapi BUKA MURAHAN. Kualitas bahan mantap ??. Berfungsi dengan baik.",Love
"fix aku cinta sama ini produk bahannya solid, dan bekerja sesuai deskripsi. bakal beli lagi!!!",Love
Respon penjual buruk barang tidak sesuai pesanan,Sadness
mengecewakan barangnya yang datang,Sadness
penyok2 kardusnya kayak beli pensil warna bakat,Anger
Cat nya jelek banget.. detailing nya jelek parah.. murah sih.. tapi ya gitu.. jelek,Anger
Pampers nya yaampun di packing asal-asalan sampe kebuka danpampersnya pun sobek jujur kecewa banget,Sadness
kemasannya dihancurkan hingga meleleh saat sampai di rumah,Sadness
"mobilnya bagus bgt , pengiriman super cepat harga terjangkau ??????",Love
"console sebelah kanan analoq ya drift sendiri lecet juga, ng recommend deh.. kapok",Fear
"lumayan lah, buat pemanasan",Happy
"barang yg dikirim tdk sesuai, harusnya cat kuku, yg datangnya eyesedo",Sadness
minta warna kuning dan gold malah gold dua2 nya payah seller,Anger
"Awalnya saya minta 9 warna, semua ready setelah bayar 27 jam, lalu saya diberitahu ada 4 warna yang out of stock, jangan seperti itu, jadi saya harus mencari warna lain.",Sadness
"Barangnya ga sampe, ga ada return dari pihak yg bersangkutan",Fear
sangat terlampau sangat sangat slow respon,Anger
Ukuran sesuai. Tidak menerawang. Bahan menyerap keringat. Jahitannya rapi. Warnanya bagus ??.,Happy
"packing bagus, pengiriman cepat, saya sudah 3 kali berbelanja di toko ini dan selalu puas dengan pelayanannya, terima kasih",Love
barang yang dikirim tidak sesuai dengan yang dipesan,Fear
"kualitas barangnya bagus sesuai dengan harapan customer, respon chat jg cepat dan ramah. rekomended seller.. sukses terus lapaknya gan.",Love
"maaf saya kasih bintang 1. karena paketnya tidak sampai ke saya langsung. sempat nyasar ke tempat lain karena penerimanya sama dengan nama saya untungnya penerimanya langsung menghubungi saya. tapi pas saya ambil ternyata isi nya cuma 1 box sesuai foto padahal saya pesan 3 box. si penerima mengaku tidak mengambil 2 box sisanya. alamat bisa tidak sampai ke saya karena label alamatnya tidak dibungkus pakai lakban kertas bening jadinya berdebu, kena air bisa pudar kan.",Fear
"gamepad mantap, tombolnya jg enak tp sayang ukurannya kekecilan. packing jg aman dan pengiriman cepad",Happy
toko peniputipu harga tipu merk semoga dapat karmanya mengiyakan,Anger
jalan pesanan serta pengiriman barang cukup cepat produk sesuai deskripsi seller responsif sukses dan tetap jaga protokol kesehatan baiklah seller terima asmara,Love
"kendaraan jadi kinclong lagi mantap, kendaraan jadi kinclong lagi mantap, senang banget bisa pasang di bengkel, senang banget ada home service",Love
"proses cepat.........!!!!!!!!!top ....,.,... seller responsif.............................",Love
respon cepat diproses dikirim segera dikemas dengan baik rapi pengiriman sangat aman sangat cepat harga ekonomis murah pesanan lengkap sesuai kualitas produk sangat baik fleksibel kuat melekat penjual produk terpercaya sangat direkomendasikan terima kasih,Love
"Saya sudah membelinya dua kali dari toko ini dan saya sangat puas.Adminnya baik sekali karena saya butuhnya cepat dan selalu respon, terima kasih",Love
"Seller dengan kualitas terbaik ini tanpa harus bertanya perkembangan barang langsung diinfokan lewat chat ke pembeli, luar biasa, pertahankan",Love
"ribet, pelayanan mengecewakan",Sadness
"Bagus, respon cepat terhadap pesanan, tidak mengecewakan.Direkomendasikan untuk belanja spare part.Terima kasih atas kerja sama Anda",Love
driver ngaco bukan tokonya. barang ok. itu smart namanya bengak. gua kasih puas komen jg lu. bintang satunya buat driver. *****,Anger
"Pengirimannya lumayan cepat, warna cutternya cantik banget dan ukurannya kecil jadi bisa dibawa kemana saja, mantap banget",Love
"Alas kandangnya bagus banget, tebal dan bahannya bagus, pengemasan dan pengirimannya juga cepat",Love
ban menjadi hitam kembali dan stabil,Love
selalu berlangganan di sini untuk mengumpulkan recehan menjadi emas,Love
"sebenernya kualitasnya oke sih, tp nggak bisa masuk ke kamera yg biasanya pake phantom power.",Sadness
barang dikirim galat petaruh webcam logitech di logitech official kok bs dikirimmya headphone jbl dan penukaran barang burung  4hari gawai sungguh lama,Anger
barangnya gak berfungsi,Sadness
sudah 3 kali ganti kartu.. sinyalnya tidak ada terus.. sekali sinyal ada ngak bisa telp dan menerima telp.,Sadness
Harga terjangkau!. Produk Sesuai. Kualitas sangat bagus! pengiriman cukup responsif. terima kasih yaa... sehat sehat selalu utk seller dan team...,Happy
"Respon seller ok banget, pisangnyaaa enakkk manis nagih",Happy
mantap proses dan pengiriman sangat cepat pokonya puas !!! dah gitu aja,Love
"Pengalaman pertama beli kulkas secara online, alhamdulillah pengiriman dan pengemasan baik, produk diterima dng baik tanpa kerusakan, dan kualitas produk bagus. Harga lebih miring dibanding beli langsung ke toko.",Happy
"Sayang sekali yang dikirim dalam potongan kecil, banyak yang mati.Sengaja pilih yang resmi dan harganya mahal lho, pilih saja yang 2500 di toko lain, hasilnya sama saja.",Fear
"Pelayanan mengecewakan, waktu pengiriman",Sadness
mendongkolkan,Anger
Ada barangnya tidak ada sampai saya komplain dan tetap saja rugi belanja disini,Fear
"sesuai deskripsi penjual, fungsi dan beberapa fitur sudah diuji dan berfungsi dengan baik, kualitas suara tidak mengecewakan, harga cukup menarik, walaupun masih ada bonus kecil, recomended, best seller di top.",Love
"jelak.. ada yg patah, pedang pada meletot semua, apa lagi warna ya ada yg salah.. fatal",Anger
kardus trek  dijual itupun masih rusak susu nya,Anger
"Respon penjual baik, Pengiriman sangat cepat, Barang sesuai dengan pesanan, Cukup memuaskan. Thank youu..",Happy
"tidak sesuai pesanan, tidak dilaminasi tapi sudah refund, laminasi biasa saja",Sadness
"beli 2 tapi cuma dikirim 1 dan enaknya bilang refund, hati-hati jangan sampai pihak toko sengaja melakukannya",Anger
"barang sesuai harga,lumayan bagus",Happy
Bahannya adem. Nyaman dipakai. agak menerawang dan tipis,Happy
Tidak dikirim lilin nya padahal sdh beli,Fear
"Saus sambalnya adalah asam jawa.Chat penjual tidak direspon, saya kecewa",Sadness
"Penggunaan di HP Samsung: Kualitas suara baik. Kualitas mic standar menuju buruk (suara harus keras baru bisa terdengar oleh lawan bicara). Pengguanan di MacBook: Ketika terhubung kualitas suara baik, namun selalu terputus (tidak stabil koneksinya), sehingga tidak bisa digunakan. Buat temen-temen yang perlu connect ke laptop gitu mending cari TWS lain deh. Soalnya koneksinya ke laptop enggak stabil. Sekian.",Fear
Membantu bos saya adalah hal yang istimewa,Love
"Kardusnya penyok, kemasannya kurang aman dan katanya dapat 10 masker gratis padahal tidak ada.",Anger
"Ini pesanan saya yang ke 3, harga murah, packing super aman, tidak ada barang rusak yang saya terima",Love
"Toko ini paling best, saya sudah 4 kali pesan disini setiap anak saya ulang tahun, saya selalu pesan cetakannya disini, nah anak saya yang ulang tahun ke 2 juga beli disini, bagus sekali",Love
"Cepet kelupas , br pake berapa jam doang padahal ?? mnding revlon sklian terjamin bgs",Fear
"Rekomendasi banget, murah banget, gak murahan dan rasanya enak",Love
kecewa sih pesannya L5 iya L5 tapi berasa. itu celana XL kecil amat heedewhh bikin kecewa sama ini toko mana bahannya tipis juga.,Sadness
"Saya order hitam (4 pcs) dan abu-abu (2pcs). Yang datang justru sebaliknya, hitam (2pcs) dan abu-abu (4pcs)",Sadness
pas dan simpel,Happy
Pesen yg besar sama yg kecil warna putih. Yg kecil warnanya kusem cenderung warna kuning kaya plastik murah. Beda ga kaya saya pertamakali pesen di sini. Terus tipis banget.,Sadness
"Barang tidak bisa dipakai, suara tidak keluar, sangat mengecewakan",Sadness
"barang cpt smpk, sesuai sm yg di gambar, barang bagus berfungsi lampunya terang",Happy
"BARANG MULUS, PACKINGAN OK, KELENGKAPAN BARANG JUGA OK, TINGGAL KENDALA DI TV SENDIRI WKWKWK, UNTUK MASALAH PS2NYA REKOMENDASI LAH BAGI YG MAU BELI PS2 DISINI. :)",Love
"baguuuus, sesuai dengan pesanan. semoga sukses selalu..",Happy
"Beli tanggal 6 agustus 2021, tp tanggal 13 September sdh error di bagian driving wheels. Akhirna ditanggal itu jg sya kirim T9 nya ke service centre di tangerang. 9 hari kemudian, T9 kembali di tgn sya, tp kemudian error lg di tanggal 23 September. Kali ini error di bagian sensor dmn deebot selalu bilang ?ozmo pro is being installed. Please move to the non carpet area? pdhal ozmo pro tdk sedang di attach ke T9 nya. Dikarnakan hal ini, lampu pd deebot akhirna suka bergonta ganti jd biru putih biru putih. Dan semalaman itu voice report terus menerus bunyi seperti itu. Kalau dsuru bawa service lg, maap saja sya bakalan tdk mao berhubung ongkosna yg sgt mahal. Jd untuk sementara ya sya hanya bs matikan voice reportna dl aja biar ga terganggu. Overall, agak mengecewakan T9 ini. Dibandingkan T8 AIVI dan 950, T9 jauh tdk tahan banting. Baru pake sebulan tp sdh byk sekali errornya. Bener2 nyesel jg belinya~ Maaap cuma bs kasi bintang segene krn ktdkpuasan saya. Kl memang mao consider beli robot, beli baik beli T8 series aja. Lebi tahan banting soale~",Anger
"kendaraan jadi mengkilat lagi mantap, kendaraan jadi kinclong lagi mantap, senang sekali ada servis ke rumah, senang sekali bisa dipasang di bengkel",Love
pelayanan ramah percuma design pokoknya rekomendasi banget bikin tanda disini,Love
Sangat kecewa dengan barang yg di terima segel Samsung sudah terbuka katanya dari sananya di dlm plasti segel ada kartu byu sudah di buka segel pelaatiknya yg makin parah layar banyak sidik jari tertinggal baru buka curiga curang tokonya barang mukin di tukar2 sama yg kw seperti Kepala carger kabel dll hati2 di toko ini harus lebih waspada dan di tanya detail kedua penjelasan juga gak bisa selalu bilang gak tau Kaka dari sana dari sana kalo dari Samsung asli sesuai pembicaraan buat apa Samsung buat segel bahkan ada tulisan jangan terima segel rusak kurang baik pokonya toko ini ngerasa barang bekas,Sadness
Alhamdulillah barang sudah sampai di rumah saya sangat senang sekali terimakasih banyak,Happy
Menggunakan bahan alami. Tidak memicu alergi. Tanpa bahan pengawet. Aman untuk bayi ??.,Happy
"Produknya bagus dan sesuai pesanan saya, sellernya membantu, terima kasih selalu",Love
mainannya bagus sekali,Love
"Toko paling ga niat jualan, beli tanggal 17, baru dkirim tanggal 21, barang sih bagus .. tapi pelayanan ngga banget, sesuai review di bawah",Sadness
"Recomended seller, sudah order ke 16 kalinya",Love
bagus sesuai deskripsi,Happy
Cupang tidak sesuai gambar,Sadness
"Pengiriman cepat, packaging rapi, produk sesuai pesanan, kualitas produk sesuai harga",Happy
barang rusak di kirim,Anger
"padahal order sore tapi orderan baru dikirim keesokan harinya, bukan hari yang sama, toko tidak recomended",Fear
"Instalasi Mudah. pengiriman cpt. respon cpt, trims seller smoga awet. Aamiin sukses selalu, seller & Tokopedia.",Love
boros batre,Sadness
"Saat saya mengisi dayanya, mengapa tidak bisa menyala?Tolong beri saya solusi.Saya tidak bisa menggunakannya",Fear
bahan terlalu tipis,Sadness
"Makasi gan barang dah sampai aman dan langsung dipakai, barangnya bagus, slalu memuaskan terus belanja disini",Happy
"soket ujung longgar, tidak asli",Fear
"mantap,, packing rapi.. mantap pokoknya...",Love
