Customer Review,Emotion,text_clean
"walaupun dapat saat harga flash sale, tetapi kualitas barang nya tetap bagus dan struktur nya kokoh utk smartphone pada umum nya.",Happy,walaupun dapat saat harga flash sale tetapi kualitas barang nya tetap bagus dan struktur nya kokoh utk smartphone pada umum nya
"Barang sudah sampai, pelayanan cepat sekali, packing aman dan barang sesuai deskripsi. Terimakasih dan sukses selalu yaa",Happy,barang sudah sampai pelayanan cepat sekali packing aman dan barang sesuai deskripsi terimakasih dan sukses selalu yaa
"gimbal yang sangat cocok utk Iphone dan HP flagship yang sudah memiliki stabilisasi bagus. sehingga gimbal ini hanya penambah support supaya lbh stabil. samsung note 10+ berfungsi dengan baik. dengan catatan tdk boleh menggunakan casing. jika mau menggunakan casing, maka bantalan pad nya harus dilepas, bs dilihat pada foto. fungsi zoom berfungsi dengan baik, fungsi mode video ke kamera juga berfungsi dengan baik, ganti kamera depan dg belakang juga berfungsi dengan baik. cuma jika menggunakan HP murah (seperti xiaomi note 9), gambarnya lebih goyang ketimbang pake HP flagship. stabilisasi ketika tongkat tongsis dipanjangkan tidak direkomendasikan kalau digunakan sambil berjalan, hasilnya tidak terlalu stabil. bahkan jika tongsisnya dimajukan 1CM saja hasilnya sudah ga bgt stabil.",Happy,gimbal yang sangat cocok utk iphone dan hp flagship yang sudah memiliki stabilisasi bagus sehingga gimbal ini hanya penambah support supaya lbh stabil samsung note 10 berfungsi dengan baik dengan catatan tdk boleh menggunakan casing jika mau menggunakan casing maka bantalan pad nya harus dilepas bs dilihat pada foto fungsi zoom berfungsi dengan baik fungsi mode video ke kamera juga berfungsi dengan baik ganti kamera depan dg belakang juga berfungsi dengan baik cuma jika menggunakan hp murah seperti xiaomi note 9 gambarnya lebih goyang ketimbang pake hp flagship stabilisasi ketika tongkat tongsis dipanjangkan tidak direkomendasikan kalau digunakan sambil berjalan hasilnya tidak terlalu stabil bahkan jika tongsisnya dimajukan 1cm saja hasilnya sudah ga bgt stabil
"Barang sudah sampai, pelayanan cepat sekali, packing aman dan barang sesuai deskripsi Terimakasih dan sukses selalu yaa",Happy,barang sudah sampai pelayanan cepat sekali packing aman dan barang sesuai deskripsi terimakasih dan sukses selalu yaa
"Pengantaran tepat waktu, packaging rapih, barang juga dalam kondisi bagus.",Happy,pengantaran tepat waktu packaging rapih barang juga dalam kondisi bagus
"Paket sudah sampai dan sesuai dengan pesanan, remote shutter nya berfungsi dengan baik dan tidak ribet kalok mau dipakai, praktis dibawa kemana???????",Happy,paket sudah sampai dan sesuai dengan pesanan remote shutter nya berfungsi dengan baik dan tidak ribet kalok mau dipakai praktis dibawa kemana
"Terimakasih barangnya sudahsampai dan sangat bagus, berguna baget sihh ini, pengiriman juga cepat",Happy,terimakasih barangnya sudahsampai dan sangat bagus berguna baget sihh ini pengiriman juga cepat
"pengiriman cepat, pengemasan aman, mudah dipasang dan digunakan, bonus backgroundnya juga banyak. hasil fotonya cukup memuaskan bagi saya. hanya saja, saya tidak begitu yakin dengan ketahanan bahannya apabila dilakukan copot pasang berulang kali. tapi secara keseluruhan bagus dan memuaskan",Happy,pengiriman cepat pengemasan aman mudah dipasang dan digunakan bonus backgroundnya juga banyak hasil fotonya cukup memuaskan bagi saya hanya saja saya tidak begitu yakin dengan ketahanan bahannya apabila dilakukan copot pasang berulang kali tapi secara keseluruhan bagus dan memuaskan
Barang sudah sampai di rumah tidak ada kerusakan sama sekali saat pengiriman dan setelah dicoba sangat memuaskan terima kasih:),Happy,barang sudah sampai di rumah tidak ada kerusakan sama sekali saat pengiriman dan setelah dicoba sangat memuaskan terima kasih
Saya senang produknya dipaketkan dengan rapi dan tidak ada cacat. Recommended!,Happy,saya senang produknya dipaketkan dengan rapi dan tidak ada cacat recommended
"Pengiriman cepat. Harganya murah. Kualitas oke. Masih diplastik. Ini saya foto setelah dikeluarin dari plastik pembungkusnya. Kainnya lembut dan berukuran kecil, jadi mudah dibawa ke mana-mana.",Happy,pengiriman cepat harganya murah kualitas oke masih diplastik ini saya foto setelah dikeluarin dari plastik pembungkusnya kainnya lembut dan berukuran kecil jadi mudah dibawa ke manamana
Respon Seller CUKUP BAIK. Proses Pengiriman BAIK. Kurir Pengiriman CEPAT. Produk untuk stock semoga cocok pakai,Happy,respon seller cukup baik proses pengiriman baik kurir pengiriman cepat produk untuk stock semoga cocok pakai
Senang sekali... karena sekarang untuk produk ini packingnya tidak dilakban lakban lagi. Sudah dimasukkan plastik per 5 pack.,Happy,senang sekali karena sekarang untuk produk ini packingnya tidak dilakban lakban lagi sudah dimasukkan plastik per 5 pack
"Barang dalam kondisi prima, nyampenya juga cepet cuma sehari. Terima kasih, seller!",Happy,barang dalam kondisi prima nyampenya juga cepet cuma sehari terima kasih seller
"Produk sesuai deskripsi. pemasangan mudah, kualitas gambar bagus pakai aplikasi V380 pro",Happy,produk sesuai deskripsi pemasangan mudah kualitas gambar bagus pakai aplikasi v380 pro
"Sedikit ada kendala, tapi semuanya sudah normal kembali , makasih Respon toko percakapan baik'??????",Happy,sedikit ada kendala tapi semuanya sudah normal kembali makasih respon toko percakapan baik
"Barang ok, pengiriman lamaa, konfirmasi aja butuh 2 hari, packing ga banget, ga pake buble",Happy,barang ok pengiriman lamaa konfirmasi aja butuh 2 hari packing ga banget ga pake buble
"Pembelian kedua, sayang kabel ga sesuai, jadi beli kabel dulu. Tapi produk masih ok, berfungsi dengan baik. Terima kasih.",Happy,pembelian kedua sayang kabel ga sesuai jadi beli kabel dulu tapi produk masih ok berfungsi dengan baik terima kasih
"Brg berfungsi dg baik,walau terkendala diawal cara pengoprasian.tp stlah 1 jam mncba akhirnya bisa.smoga awet.",Happy,brg berfungsi dg baikwalau terkendala diawal cara pengoprasiantp stlah 1 jam mncba akhirnya bisasmoga awet
pesen jam 3 terus jam 5 kurang barang udah sampe karena pake gosend instant. dapet potongan gosend instant 30rb jadi cuman bayar harga refill instaxnya doang?????? thankyou kakk,Happy,pesen jam 3 terus jam 5 kurang barang udah sampe karena pake gosend instant dapet potongan gosend instant 30rb jadi cuman bayar harga refill instaxnya doang thankyou kakk
"Ini juga sama krn pesannya barengan packing baik, tp sbnernya bs suapaya aman di bubble wrap aja sedikit mungkin ya, soalnya saya pake grab express, klo di masukin ke kantong doang kyknya kurang aman aja. Tapi produk bagus, ga ada kerusakan, respon penjual cepat",Happy,ini juga sama krn pesannya barengan packing baik tp sbnernya bs suapaya aman di bubble wrap aja sedikit mungkin ya soalnya saya pake grab express klo di masukin ke kantong doang kyknya kurang aman aja tapi produk bagus ga ada kerusakan respon penjual cepat
baru transfer satu jam kemudian barang nyampe.. cepat BAT !!!! ya walaupun harga go send sdikit rada mahal.. recommended seller nih gaes... makasih ya sis.. semoga makin banyak diskon :D,Happy,baru transfer satu jam kemudian barang nyampe cepat bat ya walaupun harga go send sdikit rada mahal recommended seller nih gaes makasih ya sis semoga makin banyak diskon d
"respon cepat, gosend ke Pamulang cepat, dapat diandalkan tepat saat dibutuhkan, kualitas okeee bgt untuk harga segitu, hasil juga cukup memuaskan, thank youuu",Happy,respon cepat gosend ke pamulang cepat dapat diandalkan tepat saat dibutuhkan kualitas okeee bgt untuk harga segitu hasil juga cukup memuaskan thank youuu
"Bulan lalu beli sepaket sama standnya..jadinya sampe lama ke Kupang NTT krn buru free ongkir wkwk. Kainnya emg tipe kasar di tangan, tapi justru cocok dipake green screen krn ga gampang robek n kotor.. Pake rekam video juga ngejreng, pas lah.. kalo beli sama standnya, jangan lupa beli jepitnya juga",Happy,bulan lalu beli sepaket sama standnyajadinya sampe lama ke kupang ntt krn buru free ongkir wkwk kainnya emg tipe kasar di tangan tapi justru cocok dipake green screen krn ga gampang robek n kotor pake rekam video juga ngejreng pas lah kalo beli sama standnya jangan lupa beli jepitnya juga
"Green screen sudah nyampe, bahan cukup tebal, mirip ntah sama dengan Positiveie bag yg bagus, warna hijau cerah, oke lah buat green screen",Happy,green screen sudah nyampe bahan cukup tebal mirip ntah sama dengan positiveie bag yg bagus warna hijau cerah oke lah buat green screen
lumayan ckup bgus sesuai hrga lah ya agk tipis yg hitam tp bgus kok semoga gk rembes dpake hujan2,Happy,lumayan ckup bgus sesuai hrga lah ya agk tipis yg hitam tp bgus kok semoga gk rembes dpake hujan2
"Kualitas barang sesuai dengan harganya, cukup bagus, hanya dibagian saat memasang kepala untuk pegangan ponsel saja yg sedikit harus menekan kepalanya ke bagian mur-nya.",Happy,kualitas barang sesuai dengan harganya cukup bagus hanya dibagian saat memasang kepala untuk pegangan ponsel saja yg sedikit harus menekan kepalanya ke bagian murnya
"tripodnya berkualitas. Produk sesuai deskripsi. packingnya aman ??. cuma sayang,gak tau kenapa bagian tengahnya gak bisa di pasang,gak ngait di aluminiumnya malah lepas terus gak bisa nahan beban hp..paling bs di lem dlu bru di pakai..thank's tokopedia dan toko yg terkait..smga lancar usahanya..?? overall bgs..",Happy,tripodnya berkualitas produk sesuai deskripsi packingnya aman cuma sayanggak tau kenapa bagian tengahnya gak bisa di pasanggak ngait di aluminiumnya malah lepas terus gak bisa nahan beban hppaling bs di lem dlu bru di pakaithanks tokopedia dan toko yg terkaitsmga lancar usahanya overall bgs
"semuanya bagus, tripod.nya kokoh pengemasan aman, rapih pokoknya seneeeeeng bgt makasih Tokopedia ??",Happy,semuanya bagus tripodnya kokoh pengemasan aman rapih pokoknya seneeeeeng bgt makasih tokopedia
sudah diterima...packingnya rapih..tebal bungkusnya double buble warping..jd aman isinya..sellernya fast respon fast delivery..Positive job mksh buat agan sellernya dan abang kurir yg ramah..,Happy,sudah diterimapackingnya rapihtebal bungkusnya double buble warpingjd aman isinyasellernya fast respon fast deliverypositive job mksh buat agan sellernya dan abang kurir yg ramah
"respon admin oke, ekspedisi kurir aman, packing ergonomis dan selamat sampai tujuan. Minus tidak ada, perbandingan barang sesuai foto testi saya. Harga dan barang sesuai, dan baterai normal ya gan..",Happy,respon admin oke ekspedisi kurir aman packing ergonomis dan selamat sampai tujuan minus tidak ada perbandingan barang sesuai foto testi saya harga dan barang sesuai dan baterai normal ya gan
"Packing bagus, reson penjual cepat, baterai sudah dicoba berfungsi normal. Hanya saja tadi waktu buat ngerekam video sempat tiba-tiba ngedrop, auto kamera mati. Sekarang baru dicas, semoga nanti normal lagi.",Happy,packing bagus reson penjual cepat baterai sudah dicoba berfungsi normal hanya saja tadi waktu buat ngerekam video sempat tibatiba ngedrop auto kamera mati sekarang baru dicas semoga nanti normal lagi
sedikit seret kalo dipadukan dengan produk original. pake sedikit kekuatan bisa masuk.. overall puas sekali dengan produk. bahan dan finishing bagus. haturnuhun,Happy,sedikit seret kalo dipadukan dengan produk original pake sedikit kekuatan bisa masuk overall puas sekali dengan produk bahan dan finishing bagus haturnuhun
Produk sampai dengan baik dan dikemas dengan rapi dan kedap. Sesuai deskripsi dan tanpa cacat. Harga produk yg ditawarkan wajar. Response seller juga cepat dan pengiriman juga relatif cepat. Terima kasih dan sukses selalu.,Happy,produk sampai dengan baik dan dikemas dengan rapi dan kedap sesuai deskripsi dan tanpa cacat harga produk yg ditawarkan wajar response seller juga cepat dan pengiriman juga relatif cepat terima kasih dan sukses selalu
"Kemasan Bubble Wrap rapih, tapi kardusnya sedikit penyok. Tapi Arm bracket-nya baik? saja. Langsung dipasang.Tripodnya kokoh, produk sesuai.",Happy,kemasan bubble wrap rapih tapi kardusnya sedikit penyok tapi arm bracketnya baik saja langsung dipasangtripodnya kokoh produk sesuai
"Pro : harga kaget flash sale, respon seller cepat dlm proses, konstruksi hampir seluruh nya dari logam kecuali mic holder. Con : Base plate tipis, baut ball head tidak presisi jadi harus ganti/modif. Baut konektor arm uk. 3/8x16tpi, bkn 1/4 jd kurang compactible, Holder HP kurang panjang, jd kl HP berat suka jatuh jika posisi menghadap ke bawah.",Happy,pro harga kaget flash sale respon seller cepat dlm proses konstruksi hampir seluruh nya dari logam kecuali mic holder con base plate tipis baut ball head tidak presisi jadi harus gantimodif baut konektor arm uk 38x16tpi bkn 14 jd kurang compactible holder hp kurang panjang jd kl hp berat suka jatuh jika posisi menghadap ke bawah
"Packing dan kemasan Baik dan aman, Jumlah order sesuai dan telah diterima komplit, Terima kasih semoga batere dan lainnya awet digunakan.",Happy,packing dan kemasan baik dan aman jumlah order sesuai dan telah diterima komplit terima kasih semoga batere dan lainnya awet digunakan
udah di tes baterai compatibel ane pake DSLR 1100D,Happy,udah di tes baterai compatibel ane pake dslr 1100d
"mantap barang ga mengecewakan sumpah, di sony a5100 ku awet jg btrenya lebih lama daripada btre ori malah",Happy,mantap barang ga mengecewakan sumpah di sony a5100 ku awet jg btrenya lebih lama daripada btre ori malah
"Mantap! Harga dan kualitas sebanding. Lebih worth it daripada battery Ori nya btw. Padahal beda durasi battery ny cm beda belasan menit, tp harganya beda ratusan ribu. Mending pake battery Powerextra, tp beli banyak.",Happy,mantap harga dan kualitas sebanding lebih worth it daripada battery ori nya btw padahal beda durasi battery ny cm beda belasan menit tp harganya beda ratusan ribu mending pake battery powerextra tp beli banyak
"Setelah 6 hari penantian, akhirnya tiba juga. Barang udah di cek, kondisi baterai aman, charger aman, all safe. Terima kasih",Happy,setelah 6 hari penantian akhirnya tiba juga barang udah di cek kondisi baterai aman charger aman all safe terima kasih
"plastiknya cukup tebal, desainnya keliatan cukup kokoh. Langsung dipakai utk zoom. hape stabil. mudah2an awet.",Happy,plastiknya cukup tebal desainnya keliatan cukup kokoh langsung dipakai utk zoom hape stabil mudah2an awet
"sesuai dengan harga dan yg paling penting pelayanan cepat bagi saya yg dropshiper sangat terbantu, terima kasih ka",Happy,sesuai dengan harga dan yg paling penting pelayanan cepat bagi saya yg dropshiper sangat terbantu terima kasih ka
"kainnya tebel, murah dan manfaat utk menutup latar belakang ketika zoom meeting. pengiriman juga cepat. makasih",Happy,kainnya tebel murah dan manfaat utk menutup latar belakang ketika zoom meeting pengiriman juga cepat makasih
"Mantap hijau terang, cuman sayang agak kelipet kotak kotak jadinya... Gatau cara ngelurusinnya gimana, disetrika kayaknya lengket",Happy,mantap hijau terang cuman sayang agak kelipet kotak kotak jadinya gatau cara ngelurusinnya gimana disetrika kayaknya lengket
seller ramah pengirimannya juga cepat dan barangnya mantap Positive banget tokonya,Happy,seller ramah pengirimannya juga cepat dan barangnya mantap positive banget tokonya
saya tidak pernah dikecewakan oleh toko ini. pokoknya untuk urusan videografi dan fotografi saya senang belanja di sini,Happy,saya tidak pernah dikecewakan oleh toko ini pokoknya untuk urusan videografi dan fotografi saya senang belanja di sini
"Flash yg simple pengaturannya, harga terjangkau buat pemula oke lah. Sayang saya sudah pro hehehe",Happy,flash yg simple pengaturannya harga terjangkau buat pemula oke lah sayang saya sudah pro hehehe
"Kameranya berfungsi, untuk kualitas gambar tentunya sesuai harga ya, seperti kamera anak sejenis. Sayangnya kabelnya kotor sekali, seperti bekas, sudah coba dibersihkan juga tidak bisa.",Happy,kameranya berfungsi untuk kualitas gambar tentunya sesuai harga ya seperti kamera anak sejenis sayangnya kabelnya kotor sekali seperti bekas sudah coba dibersihkan juga tidak bisa
Jkt - bdg cmn butuh waktu semalem packing nya mntp pack nya rapi kgak d lecet suara nya enak bet buat rekaman Fingerstyle akustik gatau dah mntp pokoknya,Happy,jkt bdg cmn butuh waktu semalem packing nya mntp pack nya rapi kgak d lecet suara nya enak bet buat rekaman fingerstyle akustik gatau dah mntp pokoknya
"Proses kemas-kirim : lumayan cpt. Packaging : bubble wrap tipis. Sesama jakarta masih aman. Dus agak penyok. Kualitas barang : aman, berfungsi. Compatoble dg cam iphone 8+ tanpa apps tambahan. Tapi kalau mau dengar hasil rekaman copot mic dulu",Happy,proses kemaskirim lumayan cpt packaging bubble wrap tipis sesama jakarta masih aman dus agak penyok kualitas barang aman berfungsi compatoble dg cam iphone 8 tanpa apps tambahan tapi kalau mau dengar hasil rekaman copot mic dulu
"Barang Original, sudah di cek keasliannya. Sudah di coba dan berfungsi dengan baik. Pengiriman menggunakan Pos Indonesia. Gilaaaa cepet nya ampun dah, gak ada obat. Beli Sabtu sampe Purwokerto hari Minggu. Gilaaaaa... 1 hari cooooy... wow diluar ekspetasi. Semua fitur berfungsi baik. Produk sesuai deskripsi. suaranya bagus dan jernih.",Happy,barang original sudah di cek keasliannya sudah di coba dan berfungsi dengan baik pengiriman menggunakan pos indonesia gilaaaa cepet nya ampun dah gak ada obat beli sabtu sampe purwokerto hari minggu gilaaaaa 1 hari cooooy wow diluar ekspetasi semua fitur berfungsi baik produk sesuai deskripsi suaranya bagus dan jernih
"alhamdulillah barang sampai di tgl 6/11. Isi dusnya : instruction manual book, kartu garansi, stiker boya, tas kecil boya, seperangkat mic, batereinya & jack adaptor (kayaknya untuk koneksi ke amplifier).",Happy,alhamdulillah barang sampai di tgl 611 isi dusnya instruction manual book kartu garansi stiker boya tas kecil boya seperangkat mic batereinya jack adaptor kayaknya untuk koneksi ke amplifier
"Kualitas produk bagus. Butuh waktu agak lama untuk ngecharge. Berhubung lampunya kecil jadi cahayanya ga semerata kalau pakai ringlight, tapi cukup okay karena ringkes dan bisa di bawa kemana saja.",Happy,kualitas produk bagus butuh waktu agak lama untuk ngecharge berhubung lampunya kecil jadi cahayanya ga semerata kalau pakai ringlight tapi cukup okay karena ringkes dan bisa di bawa kemana saja
"Puas Banget ?????????? Barang sesuai harapan, kualitas bahan bagus dan Kokoh..Response penjual sangat baik (cepat) ..Terima kasih banyak Gan????????????Sukses selalu ya..",Happy,puas banget barang sesuai harapan kualitas bahan bagus dan kokohresponse penjual sangat baik cepat terima kasih banyak gansukses selalu ya
"Sblmnya maaf boxnya gasempet difoto, tapi packingnya rapih bre ?? walau bukan pakai bubble wrap, tpi tebel dan aman dari guncangan dan benturan padahal isinya juga kokoh ?? Harga udah murah, pelayanan juga terbaik dari sellernya, gila sih pokoknya Juara sih ini ???? Build nya kokoh besi, dan kontrolnya agak sulit btw krn hanya cukup control di sikunya, tapi kalau dh terbiasa sih enak aja.",Happy,sblmnya maaf boxnya gasempet difoto tapi packingnya rapih bre walau bukan pakai bubble wrap tpi tebel dan aman dari guncangan dan benturan padahal isinya juga kokoh harga udah murah pelayanan juga terbaik dari sellernya gila sih pokoknya juara sih ini build nya kokoh besi dan kontrolnya agak sulit btw krn hanya cukup control di sikunya tapi kalau dh terbiasa sih enak aja
tripodnya mantap. dipakai sesuai kebutuhan ygbsederhana untuk taro hp dan kamera buat suting dan foto sederhana mumpuni banget. budget fits the function! keren!,Happy,tripodnya mantap dipakai sesuai kebutuhan ygbsederhana untuk taro hp dan kamera buat suting dan foto sederhana mumpuni banget budget fits the function keren
"tripodnya, terasa sturdy cukup ringan, tapi tanpa manual. seller fast response,",Happy,tripodnya terasa sturdy cukup ringan tapi tanpa manual seller fast response
Kualitasnya bagus. Kaki-kaki tripodnya kuat. Bahan tasnya juga bagus. Tebal sehingga tidak mudah sobek,Happy,kualitasnya bagus kakikaki tripodnya kuat bahan tasnya juga bagus tebal sehingga tidak mudah sobek
"Sip lah. Barang sesuai. Bahannya spundbond. Pesen 1, dpt ukuran -+ 110cm?160cm. Hanya saja di beberapa bagian ada yg sobek sedikit. Overall Positive. Thanks, Impodio!",Happy,sip lah barang sesuai bahannya spundbond pesen 1 dpt ukuran 110cm160cm hanya saja di beberapa bagian ada yg sobek sedikit overall positive thanks impodio
Dengan harga segitu kualitas spundbondnya uda bagus ?? packingnya rapi jadi g sampe kusut kainnya.,Happy,dengan harga segitu kualitas spundbondnya uda bagus packingnya rapi jadi g sampe kusut kainnya
Produk sesuai deskripsi. cuma bagian lipatannya tidak mudah hilang walaupun sudah disetrika. jdnya agak kliatan bagian lipatan saat difoto,Happy,produk sesuai deskripsi cuma bagian lipatannya tidak mudah hilang walaupun sudah disetrika jdnya agak kliatan bagian lipatan saat difoto
"Pesanan sesuai warnanya, cuman bahannya tipis banget ya. Kalau dipakai foto masih tembus bagian belakang. Tapi kualitas menyesuaikan harga sih. ????????????????????",Happy,pesanan sesuai warnanya cuman bahannya tipis banget ya kalau dipakai foto masih tembus bagian belakang tapi kualitas menyesuaikan harga sih
barang dah sampe suka banget sama barang nya kurir juga ramah ??,Happy,barang dah sampe suka banget sama barang nya kurir juga ramah
murah banget. kualitas bagus. nyaman dipake,Happy,murah banget kualitas bagus nyaman dipake
"sudah saya terima, belom tau kwalitasnya semoga awet en bener2 bagus.. thks alls??",Happy,sudah saya terima belom tau kwalitasnya semoga awet en bener2 bagus thks alls
"lumayan bagus ,isi banyak dan bahanny karet lentur banget ,pas banget di tangan",Happy,lumayan bagus isi banyak dan bahanny karet lentur banget pas banget di tangan
"barang sesuai, packing aman, cepat sampai.",Happy,barang sesuai packing aman cepat sampai
"bahan jepitnya bagus, awet dipake gak mudah rusak",Happy,bahan jepitnya bagus awet dipake gak mudah rusak
"Bagus, kencang, sayangnya ada yang patah 1.",Happy,bagus kencang sayangnya ada yang patah 1
barangnya bagus banget kak tahan lama jg,Happy,barangnya bagus banget kak tahan lama jg
Warnanya lucu ??. Lembut di kulit. Proses pesanan cepat.,Happy,warnanya lucu lembut di kulit proses pesanan cepat
Gampang dipakai. Lembut di kulit. Proses pesanan cepat. Penjualnya ramah banget. Warnanya lucu ??. Barangnya awet. Respon penjualnya top. Packaging aman ??. Packaging rapi.,Happy,gampang dipakai lembut di kulit proses pesanan cepat penjualnya ramah banget warnanya lucu barangnya awet respon penjualnya top packaging aman packaging rapi
"Warnanya lucu ??. Lembut di kulit. Gampang dipakai. sepertinya bakal langganan disini, bner2 puas dg pelayanan dan semuanya, barang ORI, bagus' sucses terus yaa ????",Happy,warnanya lucu lembut di kulit gampang dipakai sepertinya bakal langganan disini bner2 puas dg pelayanan dan semuanya barang ori bagus sucses terus yaa
Warnanya lucu ??. barang sesuai dan cepat sampai,Happy,warnanya lucu barang sesuai dan cepat sampai
"Barang sesuai deskripsi, dan pengiriman tepat waktu. Sesuai harapan. Terima kasih!",Happy,barang sesuai deskripsi dan pengiriman tepat waktu sesuai harapan terima kasih
cukup ok,Happy,cukup ok
Teksturnya keras. Hasilnya awet. Beneran waterproof. Gampang dipakai. Gampang dibawa-bawa. Proses pesanan cepat. Penjualnya ramah banget. Packaging aman ??. Packaging rapi. Respon penjualnya top.,Happy,teksturnya keras hasilnya awet beneran waterproof gampang dipakai gampang dibawabawa proses pesanan cepat penjualnya ramah banget packaging aman packaging rapi respon penjualnya top
Gampang dibawa-bawa Hasilnya awet Packaging aman ?? Gampang dipakai,Happy,gampang dibawabawa hasilnya awet packaging aman gampang dipakai
Teksturnya creamy. Gampang dipakai. Packaging aman ??.,Happy,teksturnya creamy gampang dipakai packaging aman
Gampang dipakai. Gampang dibawa-bawa. Packaging aman ??.,Happy,gampang dipakai gampang dibawabawa packaging aman
Teksturnya keras. Hasilnya tebal. Gampang dipakai. Gampang dibawa-bawa. Packaging aman ??. Proses pesanan cepat.,Happy,teksturnya keras hasilnya tebal gampang dipakai gampang dibawabawa packaging aman proses pesanan cepat
Gampang dipakai. Packaging aman ??. Proses pesanan cepat. Gampang dibawa-bawa. tapi syg pas baru nyampe dibuka udh patah,Happy,gampang dipakai packaging aman proses pesanan cepat gampang dibawabawa tapi syg pas baru nyampe dibuka udh patah
aku doang yang ngerasa apa gimaba tapi warna yang ini ga terlalu out as much i expected. Tapi overall i loved it,Happy,aku doang yang ngerasa apa gimaba tapi warna yang ini ga terlalu out as much i expected tapi overall i loved it
"Warnanya soft,baguus sukaaa harga terjangkau buat ganti2 warna kuku ????",Happy,warnanya softbaguus sukaaa harga terjangkau buat ganti2 warna kuku
"warnanya cantik,baunya tidak menyengat, harga terjangkau, pengiriman cepat, packing aman..",Happy,warnanya cantikbaunya tidak menyengat harga terjangkau pengiriman cepat packing aman
diluar ekspektasi!! mirip banget sama yg biasa aku beli di drugstore dgn harga 150rb huhu.... serius iseng beli gegara bnyk review yg blg bagus apalagi harga 6rb klo ga cocok ga sakit hati.... ga taunya bagusss... cepet kering ga gumpal...,Happy,diluar ekspektasi mirip banget sama yg biasa aku beli di drugstore dgn harga 150rb huhu serius iseng beli gegara bnyk review yg blg bagus apalagi harga 6rb klo ga cocok ga sakit hati ga taunya bagusss cepet kering ga gumpal
"Lom coba,tp seperti nya warna bagus, pengiriman standar, packing rapi, tks",Happy,lom cobatp seperti nya warna bagus pengiriman standar packing rapi tks
Sesuai pesanan.,Happy,sesuai pesanan
"Pengiriman cepat, packaging rapih, prodak ok.",Happy,pengiriman cepat packaging rapih prodak ok
Packagingnya rapi dan aman. Harganya ok dan bagus sesuai dekripsi.,Happy,packagingnya rapi dan aman harganya ok dan bagus sesuai dekripsi
kualitas sesuai harga ??,Happy,kualitas sesuai harga
"Proses pesanan cepat. Packaging aman ??. Packaging rapi. Hasilnya matte. Aplikator mudah dipakai. Thank you,beli lg ah warna lain??",Happy,proses pesanan cepat packaging aman packaging rapi hasilnya matte aplikator mudah dipakai thank youbeli lg ah warna lain
"pengiriman lumayan cepetttt. proses agak lama, paking bagusss pake dus. harga pas lg promooo, respon cepettt.Aplikator mudah dipakai. Desainnya mewah.",Happy,pengiriman lumayan cepetttt proses agak lama paking bagusss pake dus harga pas lg promooo respon cepetttaplikator mudah dipakai desainnya mewah
pengiriman cepat bgt..mantap. sukses selalu yaaa,Happy,pengiriman cepat bgtmantap sukses selalu yaaa
Aplikator mudah dipakai. Hasilnya tahan lama. Hasilnya matte. Desainnya mewah. Nggak cepat pudar. Nggak bikin bibir kering. Packaging aman ??. Proses pesanan cepat. Packaging rapi. Respon penjualnya top.,Happy,aplikator mudah dipakai hasilnya tahan lama hasilnya matte desainnya mewah nggak cepat pudar nggak bikin bibir kering packaging aman proses pesanan cepat packaging rapi respon penjualnya top
Hasilnya tahan lama. Desainnya mewah.,Happy,hasilnya tahan lama desainnya mewah
"Bagus banget, hasilnya matte dan ga kering di bibir, di kulit gelap juga cocok. Dan tadi dicoba pake masker ga nyeplak lipstiknya. Cuma sayang warnya merahnya kurang nyala dibanding lipcream matte yg 005 impulse, tapi overall oke kok. Kalo make over keluarin warna baru lagi yang merahnya lebih nyala bakal order.",Happy,bagus banget hasilnya matte dan ga kering di bibir di kulit gelap juga cocok dan tadi dicoba pake masker ga nyeplak lipstiknya cuma sayang warnya merahnya kurang nyala dibanding lipcream matte yg 005 impulse tapi overall oke kok kalo make over keluarin warna baru lagi yang merahnya lebih nyala bakal order
Hasilnya tahan lama. Hasilnya matte. Nggak cepat pudar. Packaging aman ??. Proses pesanan cepat.,Happy,hasilnya tahan lama hasilnya matte nggak cepat pudar packaging aman proses pesanan cepat
Hasilnya tahan lama. Proses pesanan cepat. Packaging rapi. Respon penjualnya top.,Happy,hasilnya tahan lama proses pesanan cepat packaging rapi respon penjualnya top
original pengemasan dan pengiriman standar.. siiiipplll,Happy,original pengemasan dan pengiriman standar siiiipplll
"Thankyou madame gie , barang sudah sampai dan sesuai pesanan , aku suka",Happy,thankyou madame gie barang sudah sampai dan sesuai pesanan aku suka
"murah meriah jd lgsg beli 3, ccok nih buat yg bibir nya kering Kya aku, lumayan buat pelembab bibir ga perlu mahal ..",Happy,murah meriah jd lgsg beli 3 ccok nih buat yg bibir nya kering kya aku lumayan buat pelembab bibir ga perlu mahal
seneng bgt nyampe nya cepettttttttt,Happy,seneng bgt nyampe nya cepettttttttt
puasssssssssssssssssssssssss ...,Happy,puasssssssssssssssssssssssss
"oke, barang ny lumayan sesuai dgn harga",Happy,oke barang ny lumayan sesuai dgn harga
Ini produk ga diragukan sensornya. Hampir ga ada delay dieksekusinya. Mantap.,Happy,ini produk ga diragukan sensornya hampir ga ada delay dieksekusinya mantap
Suaranya mantap ??. Packaging aman ??. Barang Mudah Digunakan.,Happy,suaranya mantap packaging aman barang mudah digunakan
